target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
IGKV1-13	1.4013678804481977e-5	0.0428226489565669	4.695833374299262	1.0810808615493346	3.3528135648270365	7.803592103767442	0.6781065195445403	2.750185246132998	1.3403521212882092	2.750185246132998
TCN2	1.5497804916553007e-5	0.0428226489565669	2.121783356807232	0.49098404450970634	9.838170890811405	1.599884823165533	0.0066669468198614044	0.7004580269385926	0.4704597699885441	0.7004580269385926
CCL5	2.900664969961381e-6	0.0428226489565669	3.392758460045895	0.7253000107657346	7.981085646078802	3.844676281019839	0.015779236857774482	1.527330406284765	0.601834690301133	1.527330406284765
EVI2B	1.1722113825603833e-5	0.0428226489565669	2.3607323611545175	0.5386487845866162	9.874592747071217	1.9579811327535845	0.0032479005928874663	0.8478368046079201	0.4702240065057683	0.8478368046079201
GZMK	1.2383731937220433e-5	0.0428226489565669	3.923436360904212	0.897663555998765	5.050780120062704	5.42011926867794	0.18914408955656356	2.1745354990972574	1.3321936494980469	2.1745354990972574
GZMA	6.375168661727357e-6	0.0428226489565669	2.817136818289057	0.6241511427084844	6.258353162617242	2.723935298697019	0.04740800472212732	1.0953149655145062	1.0411356019528688	1.0953149655145062
P2RY13	1.2182022755200804e-5	0.0428226489565669	2.889789962373069	0.66062843785286	5.673485836074956	2.8812076124836983	0.06387274820058632	1.1546637310289651	1.21632172163915	1.21632172163915
PLA2G4F	2.500068246255895e-5	0.055937596309953756	-3.495145610260427	0.8292566653209323	6.650916441532939	4.432624713031897	0.11979915009571077	1.8973562597099216	0.9280931202299556	1.8973562597099216
HCST	2.6028247688428485e-5	0.055937596309953756	2.817712893409126	0.6699757639773226	6.065983670176014	2.8861451699781866	0.05175388094107304	1.2649241903887851	1.101321344865793	1.2649241903887851
BTG2	3.7445079961456433e-5	0.07189267285133832	1.7654102635604014	0.4282165974498344	8.925371089700638	1.152480749617809	0.009313591375289082	0.5285701413304841	0.5020730410184304	0.5285701413304841
GIMAP4	4.088612353245381e-5	0.07189267285133832	2.356772500931577	0.5744842676607483	8.085406010826278	2.062718927324725	0.010298739987393087	0.9577956364624125	0.5863337211536026	0.9577956364624125
NKG7	5.473797176430158e-5	0.08144168075885548	2.891672872347335	0.7167510648888331	3.8478446681734213	2.7543407030614815	0.11867750613129881	0.9607767482966703	1.3882699549919117	1.3882699549919117
CPVL	5.415986482001263e-5	0.08144168075885548	2.8363584893320137	0.7026063458168527	8.935836532104735	3.0302283069924836	0.009621266268761487	1.4384353867987631	0.501416360664249	1.4384353867987631
TLR7	8.815079831156249e-5	0.08243509127070454	2.4813897277149906	0.6328322654454616	5.92035139815135	2.3569439490042883	0.028427606739167055	1.120481368313572	1.1463039767480827	1.1463039767480827
RNASET2	9.324164800284269e-5	0.08243509127070454	1.905579065145413	0.4876675296279595	11.532006628119095	1.4086048169631735	0.0018742673453154021	0.6957299497180992	0.5027621908693787	0.6957299497180992
NCF1C	6.878030507687331e-5	0.08243509127070454	3.423245804251737	0.8600113183946733	8.493294252870513	4.4699107445765955	0.01762897226035025	2.1519214665226856	0.5365240402166319	2.1519214665226856
SIT1	9.376341681085203e-5	0.08243509127070454	2.8103721337203855	0.7194666116324964	2.7501777725337186	3.0647907082138466	0.16140434295480977	1.3569834591234302	1.233327273818586	1.3569834591234302
METTL12	9.099710973045187e-5	0.08243509127070454	-2.5730176371823403	0.6574852647903097	9.287129082825677	2.5646026718534882	0.041303649023846804	1.2267378463308785	0.4833623978104675	1.2267378463308785
CD3G	8.811638295880495e-5	0.08243509127070454	2.9048617164903066	0.7408131391328141	7.534752496574762	3.2628461872043872	0.046279679959781196	1.563545700901541	0.6799165797168687	1.563545700901541
VWDE	8.401236297057677e-5	0.08243509127070454	-3.9156896280542433	0.9956857289405735	8.280319973303186	5.912907771856082	0.12928698416738033	2.7787905568926554	0.560234762556401	2.7787905568926554
CD8A	6.965123376471566e-5	0.08243509127070454	2.8029774607951907	0.7047129549537976	8.270957780960746	2.998861314148254	0.035093239914902076	1.4216597834655902	0.561396745914375	1.4216597834655902
GZMH	7.306412394601338e-5	0.08243509127070454	2.942914453852533	0.7420208144167506	5.541365255614172	3.3143479893446903	0.06513646711730159	1.5499418740306121	1.2479633622053536	1.5499418740306121
IL2RG	1.1648762866614514e-4	0.09796103102872084	2.7483165280432806	0.7132181177065476	7.9396700865244005	2.9681320581186843	0.02423871940764207	1.4678895253053124	0.6082574659792177	1.4678895253053124
SELPLG	1.3739437606704997e-4	0.11072841757870334	2.8207533067465005	0.7398090908274004	10.39409480889028	3.157896049281296	0.0029383088325138766	1.6025263310553561	0.472961876205198	1.6025263310553561
VCAM1	1.498301084886203e-4	0.11592055833547574	2.06170206009104	0.5437908897922109	8.717411605898885	1.696058843444261	0.00740369360846522	0.8600079997331478	0.5167669496602683	0.8600079997331478
TRAV4	1.6079618581233874e-4	0.11961999330700984	2.7045660843553483	0.7166740260606351	2.669112814389922	2.931606706251078	0.19866781434201494	1.3079557205725343	1.2153270031836383	1.3079557205725343
C6orf223	1.7698242922347892e-4	0.12678496837187145	-3.242874725695917	0.8648149284928477	5.562166378491785	4.240552312570207	0.16297340696353518	2.03088085063246	1.243337893764763	2.03088085063246
PRF1	1.8801451524492742e-4	0.1298777412095495	2.407433287418162	0.6446296595182022	7.585315263402661	2.3462164432595842	0.015295572055168192	1.2036434618744547	0.6692551834083328	1.2036434618744547
