row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	124.25543677206988	0.5109975507122801	0.5054836587580365	1.010908150755637	0.3120603925629618	0.722691321462119
A1CF	18.274618561246953	-1.2079534978684	0.9769248065353926	-1.2364856433038456	0.21627809901754708	0.6483511350961184
A2M	20160.041408961028	1.158387139795757	0.5690716161460786	2.0355735674196818	0.041793194275941914	0.35596504247739097
A2ML1	1947.1967126309396	-4.706316269821553	1.3094686383171683	-3.594065663053802	3.2555773310237495e-4	0.03703335734399955
A2MP1	2.7372324628640787	-0.36241794922760384	1.3343477188773811	-0.2716068263919354	0.7859243500169957	NA
A3GALT2	5.058237018297973	-0.6428265703094408	0.7178961194492168	-0.8954311813283365	0.37055663844534137	0.7613163794104806
A4GALT	679.9671347080578	0.19987650489011333	0.6981174181671176	0.2863078612404228	0.7746423376392699	0.9376748891113267
A4GNT	8.619179602667437	0.7721145359774346	1.0332415074346544	0.7472740210509455	0.45489817076870503	0.8079192977567993
AAAS	2488.193989678887	0.05135817282405448	0.29018953548286047	0.17698147777312892	0.8595229385052605	0.9648200014893933
AACS	1088.8581272539557	-0.5987373813156923	0.44550493880757447	-1.3439522868551252	0.17896381637793304	0.6122862176620504
AACSP1	8.501508052397122	-0.9067062747159363	0.7435591598663535	-1.2194137651117185	0.2226871879975728	0.6546131498904078
AADAC	62.64363844848437	-0.5138698529232595	1.1039784466974243	-0.46547091065093926	0.6415942637513066	0.8880322225565541
AADACL2	84.1475191224612	-0.07196385670244992	1.1939519180891902	-0.06027366396598402	0.9519376769111582	0.9911161120576713
AADACL3	3.1465325279036596	-0.37780051650873236	1.3860275128526258	-0.27257793442438205	0.7851776756266867	NA
AADACL4	0.6275316812215433	-2.1762109905184746	3.3882054113084052	-0.6422901584582792	0.5206848030985303	NA
AADAT	255.88236225147975	-1.074557014153483	0.5408802237441241	-1.986682017536339	0.04695764581548067	0.37266911263005537
AAED1	158.43864046249476	0.31560180864045195	0.4284965085890992	0.7365329759153159	0.4614064069684091	0.8117986835330483
AAGAB	1116.0414201311496	-0.5460600407278721	0.3868969067225044	-1.4113838369856104	0.15813146618011892	0.5887429992797878
AAK1	2168.354900059156	0.439302677507899	0.32977516048999655	1.3321278560069865	0.18281817815938614	0.6157156445180171
AAMDC	183.4251226516556	0.09580738114560008	0.4217783314103088	0.2271510269985824	0.8203063070942366	0.9526747337874817
AAMP	1589.590119215276	0.2596856719484771	0.49496887899412534	0.5246505042422257	0.5998261709760802	0.8728502573251115
AANAT	14.931206977231113	-0.7894006706813629	0.42018044838805124	-1.8787182357241048	0.060282976495244125	0.41781726491335486
AAR2	386.2887418139331	0.22529193647283097	0.26142223923341584	0.8617933085320822	0.3888012678160651	0.7713672920923115
AARD	6.866999632978016	0.09697561064706005	0.8171504205604653	0.11867534814526148	0.9055325678310457	0.9781525656185369
AARS	9690.597314986497	-0.07176928965470365	0.4554557584818494	-0.15757686299527546	0.8747902364218378	0.9688797274462374
AARS2	1225.752930757734	-0.13163123956961043	0.36175304013388304	-0.36387044465720136	0.7159547557081942	0.918767351556446
AARSD1	515.6130201758069	-0.4145041049221679	0.2501994944011022	-1.656694414648433	0.0975812728116618	0.49089709444384105
AASDH	722.0572904522178	-0.636308754825065	0.379395330121051	-1.6771654902079118	0.09351012526646055	0.48443066387817463
AASDHPPT	292.2041555128243	-0.2518541730628668	0.28248550269159955	-0.891564949928867	0.37262616395604586	0.7623458897894119
AASS	1454.3802202720751	-0.1479351200846277	0.47381500857858144	-0.31222126232012953	0.7548723742331381	0.9309066774614133
AATF	1928.1260863728232	-0.36665452906613394	0.4837995136442949	-0.757864608635614	0.448532039321838	0.8038633289621523
AATK	104.86412628867964	-0.09257650119076813	0.6385812541127063	-0.14497215600135493	0.8847328558056412	0.9710475011623271
AB019438.66	0	NA	NA	NA	NA	NA
AB019441.29	0.27568946107830244	-1.0123732484483374	2.967910892038226	-0.34110634896894954	0.7330235217774199	NA
ABAT	445.31457245211624	0.6848729305302769	0.46393020376565575	1.4762413073588663	0.1398791240777806	0.5629877681496643
ABBA01057584.1	0.2506249016981868	-1.0130644635144008	3.472516842997627	-0.2917378113103347	0.7704870969253043	NA
ABC12-47043100G14.2	0	NA	NA	NA	NA	NA
ABC13-48559800H2.1	3.0773982642943807	-1.058725919274559	1.1743836121900264	-0.901516257792643	0.3673138936507178	NA
ABC13-48559800H2.2	3.152794998465959	0.19097097873900307	1.4810271633686054	0.12894495351769134	0.8974012057956198	NA
ABC7-42389800N19.1	1969.7245499717992	-0.6131548242302288	0.7139081650970506	-0.8588707262465263	0.3904118416509179	0.7720004048483877
ABC7-42391500H16.2	5.890937404598881	6.349556911180047	2.8672855059579554	2.2144836633764764	NA	NA
ABC7-43041300I9.1	0	NA	NA	NA	NA	NA
ABC9-43961700F1.1	0.23994937882315553	-0.7373257739419119	3.47306314760016	-0.21229840708522507	0.8318742380710097	NA
ABCA1	19351.398062101583	1.288898096889729	0.5764332711524736	2.2359883812966097	0.025352532243245334	0.29127212030302585
ABCA10	492.968884452175	-0.20939043045299596	0.923904876428044	-0.22663635163668694	0.8207065231738988	0.952783599059292
ABCA11P	228.42500932630458	-0.7211850052047022	0.5340032719054835	-1.3505254427211622	0.1768474981428542	0.6102067733358663
ABCA12	3147.3890097009294	-3.3237896162709597	0.8716935451001039	-3.8130253859907395	1.3727600617399093e-4	0.023631562233561658
ABCA13	7099.985618299895	0.3864045210362109	1.1768457226159077	0.3283391472735322	0.7426552480770432	0.9265867666413989
