target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
RBM11	0.0034163389577778827	0.43084261015903264	8.570603507302351	64.59350110091263	1	4.5340030966496085	4.613821507208045	0.11868439060680827	4.495137116601237	1.4146413219794662	4.495137116601237
HNRNPA3P2	0.0035034055319059887	0.43084261015903264	8.524793222053113	31.90088028464325	1	2.310467001112085	2.2786343060459466	0.2781608773609304	2.0004734286850163	1.1442253678996586	2.0004734286850163
HLA-DPA1	0.0030854442108829623	0.43084261015903264	8.756240543881589	53.65296343033127	1	11.591249960852645	3.8323545307379447	0.001957148478492696	3.8303973822594553	0.5031116816591595	3.8303973822594553
HLA-DPB1	0.004605378453722929	0.43084261015903264	8.028231496783434	50.44307133535923	1	11.136686519828771	3.603076523954229	0.00255216603866328	3.600524357915567	0.48874821944458535	3.600524357915567
SEPT6	0.003218962568479262	0.43084261015903264	8.679007396421202	12.093036595243252	1	9.289038715022501	0.8637883282316591	0.0049590706129332435	0.8588292576187276	0.48945422748672135	0.8588292576187276
KIAA0101	0.0015936169390531104	0.43084261015903264	9.967107056738072	20.10857845401112	1	7.06467908937461	1.4363270324293655	0.023186035451127858	1.4131409969782378	0.8353188479906382	1.4131409969782378
PTPRC	0.002508839314589605	0.43084261015903264	9.134135844140168	37.361303309610534	1	11.242078707561806	2.668664522115035	0.004063746029255602	2.6646007760857824	0.49165562214039715	2.6646007760857824
GPSM3	0.003255044959393078	0.43084261015903264	8.658694088433549	36.18240026384897	1	6.31375799544166	2.5844571617034973	0.05090257384578595	2.533554587857712	1.0581726321361142	2.533554587857712
PDCD1LG2	0.002994911414422805	0.43084261015903264	8.810565844561744	35.596529984835556	1	6.841637712439267	2.542609284631111	0.028745340800408747	2.5138639438307027	0.9060062229045783	2.5138639438307027
RP11-473N11.2	0.0034799139417194813	0.43084261015903264	8.537038372932464	29.597096873295534	1	7.4325762019464	2.1140783480925394	0.03254220706466239	2.0815361410278754	0.7256304214655769	2.0815361410278754
RP11-424M22.1	8.048321316906841e-4	0.43084261015903264	11.230056072992795	28.856670000154253	1	2.962555146760413	2.0611907142967323	0.26276589349510476	1.7984248208016276	1.2960449515382397	1.7984248208016276
PTK2	0.002282507965074569	0.43084261015903264	9.307234152746393	8.366348102070859	1	10.418566938480598	0.5975962930050616	0.0025135370807272423	0.5950827559243341	0.47540926180301946	0.5950827559243341
LRRC25	0.0037907503906290134	0.43084261015903264	8.381425273286716	36.19766456297317	1	6.5957989585663315	2.585547468783797	0.03892294282411992	2.546624525959678	0.9751336678927677	2.546624525959678
SEPT1	0.00407877285611792	0.43084261015903264	8.248409284954839	18.421660725072005	1	7.235553264023461	1.3158329089337135	0.02568008455355823	1.2901528243801563	0.7816912476780462	1.2901528243801563
HLA-DQA1	0.00215396899470631	0.43084261015903264	9.41347268889593	87.81140708348381	1	11.944401968317209	6.272243363105984	0.002334212546087039	6.2699091505599	0.5176711766282601	6.2699091505599
CECR1	0.0022312356204129235	0.43084261015903264	9.348865360982117	44.37113295043097	1	9.350023846988705	3.1693666393164954	0.012262888212834746	3.157103751103663	0.4867914975874245	3.157103751103663
CCDC150	0.003558866908902865	0.43084261015903264	8.496211684208696	16.63138249848969	1	7.192178247623392	1.1879558927492644	0.03788077038993126	1.1500751223593322	0.7950088041739432	1.1500751223593322
AC083899.3	0.0044590038971160555	0.43084261015903264	8.086750555819911	17.97255463940012	1	7.422931174689795	1.2837539028142948	0.02626850667888563	1.2574853961354084	0.7281649873674954	1.2574853961354084
BTG2	4.223913178919953e-4	0.43084261015903264	12.430444674781562	16.134730494649308	1	8.925371089700638	1.152480749617809	0.009313591375289082	1.1431671582425187	0.5099607043161613	1.1431671582425187
GIMAP7	0.001399464904057004	0.43084261015903264	10.206500355713551	32.77116127885955	1	7.78984673446813	2.3407972342042527	0.014636792858980325	2.3261604413452734	0.6503343624173328	2.3261604413452734
GLIPR1	0.003552578733015332	0.43084261015903264	8.499429392109164	21.51842264129503	1	8.039853888705341	1.5370301886639304	0.016110184297333883	1.5209200043665967	0.6077985357669469	1.5209200043665967
RP11-512F24.1	0.0017189892606114853	0.43084261015903264	9.827745420423597	17.625176123456733	1	6.304899672212876	1.258941151675481	0.03402281117679764	1.2249183404986832	1.0609164052245033	1.2249183404986832
PRELP	0.004601710178943344	0.43084261015903264	8.029674762392197	18.233081565918123	1	7.579480037334637	1.3023629689941518	0.012976572711909466	1.289386396282242	0.6903864137017897	1.289386396282242
AOAH	0.003713782370008014	0.43084261015903264	8.418714696841313	46.2160757097615	1	7.487795248460446	3.3011482649829627	0.02349683284074205	3.277651432142222	0.7116162873008633	3.277651432142222
GIMAP4	4.417524324459014e-4	0.43084261015903264	12.34676020451213	28.878064982546153	1	8.085406010826278	2.062718927324725	0.010298739987393087	2.052420187337332	0.6006302331735848	2.052420187337332
IGHV4-28	0.0020093783887213364	0.43084261015903264	9.540948848653422	64.26187915358001	1	5.759729233978173	4.590134225255715	0.127207842842125	4.46292638241359	1.227589358390654	4.46292638241359
GIMAP5	0.0036694297920977993	0.43084261015903264	8.440561260277896	33.346684055533586	1	7.504549002949638	2.3819060039666837	0.022084733731522126	2.3598212702351624	0.7075396561723746	2.3598212702351624
HLA-DMB	0.002782245728735614	0.43084261015903264	8.945036252293349	39.30247992493045	1	8.796617649756012	2.8073199946378904	0.01399649391684831	2.793323500721041	0.5193598749389345	2.793323500721041
